resourceId,resourceType,field,locale,issue,detail
gid://shopify/Product/10081146634570,PRODUCT,meta_title,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106452377930,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106452377930,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106453066058,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106453066058,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106453623114,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106453623114,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106453655882,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106453655882,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106456244554,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106456244554,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106456277322,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106456277322,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106457489738,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106457489738,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106457653578,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106457653578,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106467615050,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106467615050,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106467647818,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106467647818,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106468499786,PRODUCT,meta_description,de,outdated_translation,Shopify flags this translation as outdated vs current sv source
gid://shopify/Product/10106468499786,PRODUCT,meta_description,fi,outdated_translation,Shopify flags this translation as outdated vs current sv source
